wav_filename,rtf,wer,cer,original,prediction
cam_06705_00965380421.wav,0.54,0.454545,0.224138,no hi ha cap problema amb utilitzar els serveis de gerebit,n'hi ha cap problema per utilitzar els serveis de digues evitar
cam_08935_01786979677.wav,0.70,0.000000,0.000000,la seat de martorell necessita més treballadors qualificats,la seat de martorell necessita més treballadors qualificats
cam_08967_01421517524.wav,0.83,0.000000,0.000000,encara recordo la cançoneta de l'anunci de freixenet de quan érem petits,encara recordo la cançoneta de l'anunci de freixenet de quan érem petits
cam_06279_01547145967.wav,0.80,0.333333,0.191489,van anar a camprodon a veure la fàbrica de galetes però no es van parar a fer una foto al pont,per anar camprodon haver de la fàbrica de galetes però no es van parar de fer una foto quan
cam_04910_01159743965.wav,0.85,0.428571,0.157480,el seu número es recorda millor en tres blocs de tres xifres és el vuit-cents setanta-dos nou-cents setanta-cinc zero zero zero,el seu número recorden millor en tres blocs de tres xifres és el buit sense tanta dos negociant setanta cinc zero zero zero
cam_04910_00431791014.wav,0.80,0.200000,0.038462,el castell de sant martí sarroca està dalt d'un turó,el castell de sant martí ser roca està dalt d'un turó
cam_07140_01901419013.wav,0.86,0.272727,0.073529,l'autor de la novel·la el domador de puces és francesc valls-calzada,l'autor de la novel·la el domador de puces és francesc balls calç ara
cam_08664_01496553859.wav,0.53,0.571429,0.300000,josé zaragoza té un parlar molt agressiu,el cessa gossa té un parla molt agressiu
cam_00762_01195797081.wav,1.00,0.272727,0.150000,la xarxa de carreteres està controlada per infraestructures viàries de catalunya,la xarxa de carreteres per quan prova per infraestructures viàries de catalunya
cam_07140_00281087812.wav,0.70,0.125000,0.043478,sempre m'ha agradat el to folklòric dels corrs,sempre m'ha agradat el to folklòric dels ports
cam_06582_01886520024.wav,0.54,0.000000,0.000000,rosa maria graupera escrivia novel·les roses però també cròniques de guerra,rosa maria graupera escrivia novel·les roses però també cròniques de guerra
cam_04484_00416637456.wav,0.77,0.500000,0.333333,no hi ha cap problema amb intermes nets des de l'inici de la crisi,que problema amb internes m'he passat des de l'inici de la crisi
cam_08935_00481209806.wav,0.70,0.333333,0.197531,tinc ganes de veure la pel·lícula incerta glòria dirigida per l'agustí villaronga,té ganes de veure la pel·lícula incerta glòria dirigida per la bústia clar
cam_04787_01536917998.wav,0.62,0.333333,0.229508,el logo de grup indonèsia és un monstre que sembla un pokémon,el nou altre grup indonèsia és un monstre que sembla poca món
cam_02689_02105283723.wav,0.55,0.857143,0.468750,els vesits de mango em queden bé,els bacils amant gom que també
cam_02992_00343622788.wav,0.61,0.363636,0.164179,les maquinària que ven girbau està orientada a la neteja industrial,les maquinària que pentina vau està orientat de la neteja industrial
cam_06279_01736119352.wav,0.74,0.133333,0.041667,en van publicar un article a la vanguardia però no sé si és gaire fiable,em van publicar un article la vanguardia però no sé si és gaire fiable
cam_03115_00060567600.wav,0.50,0.083333,0.060606,el conseller ausàs anava a les reunions al palau de la generalitat,el conseller causades anava a les reunions al palau de la generalitat
cam_07140_00638203382.wav,0.95,0.375000,0.205882,mandy moore no és una noia com cal,van dir molt no és una noia com cal
cam_03386_00809980701.wav,0.82,0.529412,0.230000,del brasil han sortit algunes de les més grans models dels nostres temps com ara alessandra ambrosio,per altres si l'han sortit algunes de les més grans models dels nostres temps com ara ha alexandre però si no
cam_02689_00573607082.wav,0.65,0.857143,0.526316,a mataró hi viu molta gent de gàmbia i no en sé el perquè,quan la trobi viu moltes generant dia aquí no se'l per què
cam_06705_01962369837.wav,0.51,0.562500,0.269231,va ser un eminent geògraf català del segle divuit plenament integrat a l'espanya guanyadora dels borbons,que va ser una eminència obre els català del segle xviii clarament integrar-te l'espanya guanyadora dels borbons
cam_06705_01740832451.wav,0.51,0.250000,0.159420,les accions de carburants axoil han pujat més d'un cinquanta per cent,les accions de carburants petroli lut han pujat més del cinquanta per cent
cam_03115_01598892327.wav,0.46,0.500000,0.200000,josé corbacho a vegades es fa molt pesat,no sé com vaig a vegades es fa molt pesat
cam_08967_00651805032.wav,0.98,0.875000,0.294737,un altre dels reusencs notables va ser el geògraf historiador i escriptor josep iglésies i fort,una altra del rus anys notant vols va ser el geògraf historia de un dia escriptor josep i la incisió fort
cam_06582_01441333027.wav,0.66,0.909091,0.226667,els productes de johnson controls eurosit es distribueixen des de tarragona,que els productes que jo no són com rols euros fet es distribueixen més de tarragona
cam_06705_01973373571.wav,0.60,0.333333,0.180000,a polinyà hi vaig treballar quan tenia divuit anys,poden ja em vaig treballar quan tenia divuit anys
cam_08935_00780612722.wav,0.71,0.470588,0.209091,si a l'escorxador frigorífic d'osona hi maten bestiar no m'hi trobareu pas perquè no m'agraden els escorxadors,que si el escorxador frigorífic d'osona innata bestiar del microones pas perquè no m'agraden els escorxadors
cam_04484_01901967713.wav,0.83,1.000000,0.590909,vint-i dos cara de gos,quina mosca gros
cam_02689_01304071204.wav,0.61,0.444444,0.355556,el vol cap a colòmbia feia escala a amsterdam,el vol cap a colòmbia sèries cala s'obre
cam_00762_01755684641.wav,1.07,0.363636,0.151515,la campanya de micromecenatge espera recollir més de set mil euros,la campanya de micromecenatge per terra recollir prendre set mil euros
cam_03386_00199994363.wav,1.23,0.363636,0.229508,fernando alonso té el coll molt gruixut perquè està molt fort,calen sota el coll molt gruixut perquè està molt forta
cam_00459_01976101592.wav,0.54,0.000000,0.000000,el més conegut d'islàndia és el bacallà els volcans i l'equip nacional de futbol,el més conegut d'islàndia és el bacallà els volcans i l'equip nacional de futbol
cam_06279_00236303122.wav,0.86,0.200000,0.177419,la pedra gentil és una estructura del municipi de vallgorguina,la pedra gentil és una estructura del municipi de venir qualitat
cam_03386_01957675392.wav,0.86,1.000000,0.500000,penélope cruz és la parella de javier bardem,per aneu a fer creure és la parella de sabia que parem
cam_04484_01622288592.wav,0.76,0.500000,0.315789,hi ha hagut un incendi a lliçà d'amunt,hi ha hagut un incendi talli sola en un
cam_04484_01081254941.wav,0.78,0.562500,0.302083,m'agradaven tant les xocolatines milka que sempre en tenia una bona reserva guardada a la nevera,però en què les xocolatines mil que el que sempre tenia una bona reserva guardada la mare
cam_00762_01326535170.wav,1.23,1.000000,0.717391,necessito un cub d'avecrem per fer-me el dinar,deixi així que un complicada crec però marina
cam_08935_00390067645.wav,1.00,0.100000,0.067797,vam fer un projecte de petroquímica amb repsol l'any passat,vam fer un projecte de petroquímica repsol l'any passat
cam_03386_01287111611.wav,0.80,0.400000,0.151163,el big bang és el model cosmològic de l'univers que considera que aquest s'ha expandit,pel voltant és el model poso molt lògic de l'univers que considera que aquest s'ha expandit
cam_06279_01307398413.wav,0.96,0.571429,0.333333,montserrat enfilem-nos al teulat i tastem si el vi de l'any ha sortit bo,montserrat encara no sóc ovata que t'estan si el vi de l'any va sortir bo
cam_08967_00221215400.wav,0.68,0.571429,0.166667,un dels temes de treball djoan ruiz i carbonell ha estat el dels discapacitats,un dels temes de treball de joan rull si carbonell estat el dolç tirs capacitats
cam_00459_01578390631.wav,0.57,0.545455,0.396226,el diari de javier godó és el més llegit de catalunya,el diari de ferir de tumor és el més i així tal catalunya
cam_02992_01624881549.wav,0.78,0.235294,0.087500,l'únic que sé d'els amics de les arts és que es tracta d'un grup de músics joves,l'únic que sé dels amics de les arts que es que es tracta d'un grup de música joves
cam_08664_02002892736.wav,0.51,0.357143,0.146667,a barcelona tothom beu cervesa damm però a valència és més popular la mahou,a barcelona tothom veu cervesa banc però valència és més popular de la mou
cam_03115_01829339115.wav,0.49,0.444444,0.391304,facebook és la xarxa social més famosa del món,que és l'únic que es la xarxa social més famosa del món
cam_00459_00160813708.wav,0.67,0.583333,0.298246,la torre agbar enlluerna tota la ciutat quan es fa de nit,que atorga per trobar enlluernen tota la ciutat quan es fa tenir
cam_04910_00004101997.wav,0.74,0.307692,0.179104,diuen que com el vallès no hi ha res però l'oriental o l'occidental,diuen que com al vallès no hi ha res però l'hauríem cal occidental
cam_08664_00602686824.wav,0.48,0.307692,0.136364,em sembla que la denise maestre està cridada a tenir un gran futur,em sembla que la denise mestre de cridar de tenir un gran futur
cam_04787_00531347264.wav,0.58,0.888889,0.409091,sant quirze del vallès és a prop de sabadell,saps qui és el del vallès inseparables sabadell
cam_06705_01409008011.wav,0.59,0.500000,0.188525,el poeta reusenc del dinou joaquim bartrina va escriure en català i castellà temes existencials impregnats de romanticisme,el poeta reusenc del dinou i jo qui invertir no va escriure en català castellà en temes existencials impera cremats de romanticisme
cam_08664_01662320089.wav,0.57,0.400000,0.224490,cesc fàbregas no era tan bo com tothom es pensava,què saps fabra és no era tan bo com tothom es pensava
cam_00459_00453522588.wav,0.75,0.555556,0.177419,el diumenge s'esperen forts xàfecs pels voltants de riudarenes,per el diumenge s'esperen forts xàfec són pels voltants de riure nenes
cam_00762_01650781697.wav,1.12,0.777778,0.468085,a barcelona hi viuen més d'un milió de persones,la senyora vivia un nen de milions de persones
cam_08664_01583725436.wav,0.51,0.300000,0.120000,saps si bristol és a anglaterra o als estats units,saps ser bristol és anglaterra als estats units
cam_04787_00983967597.wav,0.58,0.666667,0.181818,aquest web només accepta targetes mastercard,aquesta web només accepta casetes màster cap
cam_06582_00764639024.wav,0.51,0.266667,0.123288,hi ha una visita preparada per anar a veure les vinyes de comte de caralt,hi ha una visita preparada per anar veure les vinyes de compte de que no
cam_00762_00456165791.wav,1.03,0.444444,0.227273,repsol va tenir una crisi fa uns quants anys,que són van tenir una crisi fa uns quants són
cam_02689_01046063374.wav,0.71,0.400000,0.215686,els nous pantalons de nike són prou bons per córrer,els meus pantalons en aquest som prou bons per córrer
cam_03386_00103461479.wav,0.74,0.818182,0.285714,a sant julià de vilatorta encara es canten les tradicionals caramelles,passen juliana que la porta encara es canta en les tradicionals que milles
cam_08967_01325020888.wav,0.89,0.600000,0.196429,kia motors ha millorat molt la qualitat dels seus cotxes,i si el motor es que millorat molt la qualitat dels seus cotxes
cam_06705_01985250780.wav,0.48,0.000000,0.000000,el bisbe de solsona és jove,el bisbe de solsona és jove
cam_07140_00923042198.wav,1.00,0.285714,0.176471,els elàstics de mango em van grans,els elàstics demano que em van grans
cam_08664_01740593251.wav,0.54,0.500000,0.293333,va anar-se'n a lovaina per un intercanvi durant els seus anys universitaris,va anar passant el guanyin aparente canvi durant els seus anys universitaris
cam_04484_01919318040.wav,0.41,0.200000,0.130435,a vilassar de dalt hi viu la meva amiga raquel,a vilassar de dalt i viu la meva millor raquel
cam_04484_01082345005.wav,0.71,0.111111,0.022222,per què no li demanes a l'antònia que t'ajudi,per què no li demanes a l'antònia que t'ajudin
cam_04787_01681539363.wav,0.71,0.444444,0.217822,sempre m'ha cridat l'atenció la imatge de les ampolles d'anís del mono és una burla del senyor darwin,sempre va cridar l'atenció la imatge les ampolles allò del món no és una burla del senat avui
cam_06279_01107843560.wav,1.28,0.250000,0.056604,a brussel·les s'hi poden menjar uns musclos boníssims,a brussel·les si podem menjar uns musclos boníssims
cam_06582_00613960778.wav,0.62,0.062500,0.025641,quan era petit era molt innocent creia que a la selva del camp hi havia lleons,quan era petit era molt innocent creia que la selva del camp hi havia lleons
cam_08967_00009716999.wav,0.93,0.181818,0.121212,diuen que melbourne és una de les ciutats més boniques d'austràlia,diuen que no voldràs és una de les ciutats més boniques d'austràlia
cam_03115_01070929626.wav,0.42,0.384615,0.192308,ciments molins industrial és una de les empreses més famoses de silicon valley,si immensa l'oli si industrial és una de les empreses més famoses de silicon vermell
cam_00762_00434475933.wav,0.94,0.933333,0.376623,el banc hac essa be ce ha rebut molts diners públics per al seu refinançament,però van a aquesta bé què ha rebut molt cuiner públic però els seus retina finalment
cam_02689_01318609760.wav,0.69,0.705882,0.465909,el meu amic pere viu a prop del circuit de silverstone i s'ha comprat un abonament anual,el meu amic era meva pròpia circuit assumptes tot i separar com alguna mena nou
cam_04787_01594311147.wav,0.55,0.333333,0.153846,els nens surten de l'escola a un quart i mig de cinc,els nens surten de l'escola un quan límits de cinc
cam_04484_01024958015.wav,0.52,1.000000,0.833333,els jocs de mattel passen de pares a fills,com pres
cam_00762_00652951943.wav,1.39,0.769231,0.484848,entenc que l'himàlaia és el nom de la serralada on hi ha l'everest,entenc que màlaga això no em dóna sagrada on línia de vaixells
cam_03115_00385083483.wav,0.57,0.500000,0.113208,vaig estar prenent el probiòtics d'almirall dos mesos,vaig estar aprenent els probiòtics d'elit mirall dos mesos
cam_03386_02067324482.wav,0.80,0.444444,0.254545,l'empresa grup dos-cents no té gaire presència a europa,l'empresa inclús docents no té gaire presència una poma
