wav_filename,wer,cer,original,prediction
common_voice_ca_19034690.wav,1.000000,0.727273,supervisa l'emissió de les resolucions de concessió de l'habitació,participacions d'equitació deia
common_voice_ca_17485470.wav,0.384615,0.293103,el març li demanà uns dies a febrer per enganyar a sa mare,el mas li demanà uns dies a febrer per iacma
common_voice_ca_19290202.wav,1.000000,0.692308,anem a gàtova,la magrana
common_voice_ca_19041983.wav,0.272727,0.170732,inspecciona escorxadors i explotacions ramaderes en cas de declaració de malalties,espacio escorxadors i els professions ramaderes en cas de declaració de malalties
common_voice_ca_19924318.wav,1.000000,0.451613,de vegades porta un capell rodó,la vaga es porta enipro
common_voice_ca_20227727.wav,0.285714,0.075472,s'hi poden distingir dues cubetes bàsicament similars,si poden distingir dues cobertes bàsicament similars
common_voice_ca_20560332.wav,0.555556,0.358491,en altres llengües es considera una amanida de fruita,en els agendes es unirà una manera de fruites
common_voice_ca_17479762.wav,0.090909,0.045872,la confiança en si mateix i la capacitat per a tractar amb coses és madura i poc ansiosa és flexible i segura,la confiança en si mateix i la capacitat per tractar en coses és madura i poc ansiosa és flexible i segura
common_voice_ca_20329811.wav,0.272727,0.071429,el clima hi és fred i propens a inflamacions i apoplexia,el clima és fred i propensa inflamacions i apoplexia
common_voice_ca_20822641.wav,0.142857,0.083333,el futbol és el segon esport més popular al país per darrere del beisbol,au el futbol és el segon espai més popular al país per darrere del beisbol
common_voice_ca_19028649.wav,1.000000,0.571429,com era,comentar
common_voice_ca_20941397.wav,0.000000,0.000000,es va llicenciar en filologia anglesa i posteriorment es va especialitzar en crítica literària,es va llicenciar en filologia anglesa i posteriorment es va especialitzar en crítica literària
common_voice_ca_19896689.wav,0.357143,0.231707,com l'episodi de març dites nevades van contrastar amb un inici de temporada escàs,com aquestes dues nevades van contestar amb un inici de temporada escàs
common_voice_ca_19266629.wav,0.800000,0.562500,és curiós que ningú no volgués fer mai de cowboy,es curi els cangurs i fer de codi
common_voice_ca_18497552.wav,0.000000,0.000000,venim de puigcerdà,venim de puigcerdà
common_voice_ca_18532796.wav,0.400000,0.267857,aprovat el cens definitiu s'obre un període que no serà inferior a set dies per a la presentació de candidatures,aprovat el setze fiiiu s'obre un període carrera inferior a dies per la presentació de patateres 
common_voice_ca_19041752.wav,0.266667,0.141176,faig constar que en data d'avui aquest edicte ha quedat afixat en el tauler d'anuncis,faig constar que en data d'avui aquest edicte quedat afixat en el que li denuncia
common_voice_ca_21137619.wav,0.142857,0.086957,actualment està tancada convertida en un museu,ara actualment està tancada convertida en un museu
common_voice_ca_19922923.wav,0.266667,0.062500,el regne vàndal va mantenir un conflicte permanent amb l'imperi romà pel control del mediterrani,al regne banda el va mantenir un conflicte permanent amb l'imperi romà el control del mediterrani
common_voice_ca_21838153.wav,0.285714,0.112500,en aquest moment trobem també documentats els altars de sant joan i sant lambert,en aquest moment podem també documentals als altars de sant joan i sant manera
common_voice_ca_17901114.wav,0.000000,0.018519,indicis i característiques que determinen la idoneïtat,indicis i característiques que determinen la idoneïtat 
common_voice_ca_17982416.wav,0.833333,0.375000,quin mal de cap que tinc,i maldecap de vic
common_voice_ca_19046737.wav,0.400000,0.038462,hi havia sang pertot arreu,hi havia sang per tot arreu
