wav_filename,rtf,wer,cer,original,prediction
cam_06705_00965380421.wav,1.73,0.181818,0.155172,no hi ha cap problema amb utilitzar els serveis de gerebit,no hi ha cap problema a utilitzar els serveis de ja
cam_08935_01786979677.wav,0.18,0.000000,0.000000,la seat de martorell necessita més treballadors qualificats,la seat de martorell necessita més treballadors qualificats
cam_08967_01421517524.wav,0.18,0.083333,0.027778,encara recordo la cançoneta de l'anunci de freixenet de quan érem petits,encara recordo la cançoneta de l'anunci de freixenet de quan eren petits
cam_06279_01547145967.wav,0.17,0.809524,0.659574,van anar a camprodon a veure la fàbrica de galetes però no es van parar a fer una foto al pont,ara a camprodon ballabriga de galetes
cam_04910_01159743965.wav,0.18,0.428571,0.519685,el seu número es recorda millor en tres blocs de tres xifres és el vuit-cents setanta-dos nou-cents setanta-cinc zero zero zero,el seu número es recorda millor en tres blocs de tres xifres 
cam_04910_00431791014.wav,0.18,0.400000,0.384615,el castell de sant martí sarroca està dalt d'un turó,el castell de sant martí sarroca
cam_07140_01901419013.wav,0.18,0.000000,0.000000,l'autor de la novel·la el domador de puces és francesc valls-calzada,l'autor de la novel·la el domador de puces és francesc valls-calzada
cam_08664_01496553859.wav,0.18,0.000000,0.000000,josé zaragoza té un parlar molt agressiu,josé zaragoza té un parlar molt agressiu
cam_00762_01195797081.wav,0.18,0.000000,0.000000,la xarxa de carreteres està controlada per infraestructures viàries de catalunya,la xarxa de carreteres està controlada per infraestructures viàries de catalunya
cam_07140_00281087812.wav,0.18,0.250000,0.086957,sempre m'ha agradat el to folklòric dels corrs,sempre m'agrada el to folklòric dels corrs
cam_06582_01886520024.wav,0.18,0.000000,0.000000,rosa maria graupera escrivia novel·les roses però també cròniques de guerra,rosa maria graupera escrivia novel·les roses però també cròniques de guerra
cam_04484_00416637456.wav,0.18,0.000000,0.000000,no hi ha cap problema amb intermes nets des de l'inici de la crisi,no hi ha cap problema amb intermes nets des de l'inici de la crisi
cam_08935_00481209806.wav,0.18,0.083333,0.024691,tinc ganes de veure la pel·lícula incerta glòria dirigida per l'agustí villaronga,tinc antes de veure la pel·lícula incerta glòria dirigida per l'agustí villaronga
cam_04787_01536917998.wav,0.18,0.000000,0.000000,el logo de grup indonèsia és un monstre que sembla un pokémon,el logo de grup indonèsia és un monstre que sembla un pokémon
cam_02689_02105283723.wav,0.18,0.142857,0.125000,els vesits de mango em queden bé,els bases de mango em queden bé
cam_02992_00343622788.wav,0.19,0.000000,0.000000,les maquinària que ven girbau està orientada a la neteja industrial,les maquinària que ven girbau està orientada a la neteja industrial
cam_06279_01736119352.wav,0.18,0.466667,0.416667,en van publicar un article a la vanguardia però no sé si és gaire fiable,en van publicar un article a la vanguardia
cam_03115_00060567600.wav,0.18,0.000000,0.000000,el conseller ausàs anava a les reunions al palau de la generalitat,el conseller ausàs anava a les reunions al palau de la generalitat
cam_07140_00638203382.wav,0.18,0.250000,0.088235,mandy moore no és una noia com cal,manda mor no és una noia com cal
cam_03386_00809980701.wav,0.18,0.000000,0.000000,del brasil han sortit algunes de les més grans models dels nostres temps com ara alessandra ambrosio,del brasil han sortit algunes de les més grans models dels nostres temps com ara alessandra ambrosio
cam_02689_00573607082.wav,0.18,0.428571,0.263158,a mataró hi viu molta gent de gàmbia i no en sé el perquè,a mataró hi viu molta energia i no sé per què
cam_06705_01962369837.wav,0.18,0.312500,0.278846,va ser un eminent geògraf català del segle divuit plenament integrat a l'espanya guanyadora dels borbons,va ser un eminent geògraf català del segle divuit l'entrenadora dels borbons
cam_06705_01740832451.wav,0.17,0.000000,0.000000,les accions de carburants axoil han pujat més d'un cinquanta per cent,les accions de carburants axoil han pujat més d'un cinquanta per cent
cam_03115_01598892327.wav,0.17,0.000000,0.000000,josé corbacho a vegades es fa molt pesat,josé corbacho a vegades es fa molt pesat
cam_08967_00651805032.wav,0.18,0.437500,0.452632,un altre dels reusencs notables va ser el geògraf historiador i escriptor josep iglésies i fort,un altre dels reusencs notables va ser el geògraf si
cam_06582_01441333027.wav,0.18,0.000000,0.000000,els productes de johnson controls eurosit es distribueixen des de tarragona,els productes de johnson controls eurosit es distribueixen des de tarragona
