wav_filename,rtf,wer,cer,original,prediction
cam_06705_00965380421.wav,0.06,0.272727,0.086207,no hi ha cap problema amb utilitzar els serveis de gerebit,no hi ha cap problema a utilitzar els serveis de jerez bit
cam_08935_01786979677.wav,0.06,0.125000,0.050847,la seat de martorell necessita més treballadors qualificats,la cia de martorell necessita més treballadors qualificats
cam_08967_01421517524.wav,0.05,0.083333,0.027778,encara recordo la cançoneta de l'anunci de freixenet de quan érem petits,encara recordo la cançoneta de l'anunci de freixenet de quan eren petits
cam_06279_01547145967.wav,0.05,0.095238,0.031915,van anar a camprodon a veure la fàbrica de galetes però no es van parar a fer una foto al pont,van anar camprodon a veure la fàbrica de galetes però no es van parar a fer una foto el pont
cam_04910_01159743965.wav,0.05,0.000000,0.000000,el seu número es recorda millor en tres blocs de tres xifres és el vuit-cents setanta-dos nou-cents setanta-cinc zero zero zero,el seu número es recorda millor en tres blocs de tres xifres és el vuit-cents setanta-dos nou-cents setanta-cinc zero zero zero
cam_04910_00431791014.wav,0.04,0.100000,0.038462,el castell de sant martí sarroca està dalt d'un turó,el castell de sant martí sarroca estar dalt d'un turó
cam_07140_01901419013.wav,0.04,0.181818,0.014706,l'autor de la novel·la el domador de puces és francesc valls-calzada,l'autor de la novel·la el domador de puces és francesc valls calzada
cam_08664_01496553859.wav,0.04,0.000000,0.000000,josé zaragoza té un parlar molt agressiu,josé zaragoza té un parlar molt agressiu
cam_00762_01195797081.wav,0.05,0.363636,0.187500,la xarxa de carreteres està controlada per infraestructures viàries de catalunya,la xarxa de carretera està controlada per infart tutorials diària de catalunya
cam_07140_00281087812.wav,0.04,0.250000,0.043478,sempre m'ha agradat el to folklòric dels corrs,sempre m'ha agradat el to folklòrics dels cors
cam_06582_01886520024.wav,0.04,0.000000,0.000000,rosa maria graupera escrivia novel·les roses però també cròniques de guerra,rosa maria graupera escrivia novel·les roses però també cròniques de guerra
cam_04484_00416637456.wav,0.04,0.357143,0.075758,no hi ha cap problema amb intermes nets des de l'inici de la crisi,no hi ha cap problema amb in termes nets des del inici a la crisi
cam_08935_00481209806.wav,0.04,0.083333,0.024691,tinc ganes de veure la pel·lícula incerta glòria dirigida per l'agustí villaronga,tinc ganes de veure la pel·lícula incerta glòria dirigida per agustí villaronga
cam_04787_01536917998.wav,0.04,0.000000,0.000000,el logo de grup indonèsia és un monstre que sembla un pokémon,el logo de grup indonèsia és un monstre que sembla un pokémon
cam_02689_02105283723.wav,0.03,0.571429,0.218750,els vesits de mango em queden bé,els vestits de mango en què també
cam_02992_00343622788.wav,0.04,0.181818,0.044776,les maquinària que ven girbau està orientada a la neteja industrial,les maquinària que ben girbau està orientat a la neteja industrial
cam_06279_01736119352.wav,0.04,0.066667,0.013889,en van publicar un article a la vanguardia però no sé si és gaire fiable,em van publicar un article a la vanguardia però no sé si és gaire fiable
cam_03115_00060567600.wav,0.03,0.000000,0.000000,el conseller ausàs anava a les reunions al palau de la generalitat,el conseller ausàs anava a les reunions al palau de la generalitat
cam_07140_00638203382.wav,0.04,0.125000,0.088235,mandy moore no és una noia com cal,mandy mur no és una noia com cal
cam_03386_00809980701.wav,0.05,0.117647,0.040000,del brasil han sortit algunes de les més grans models dels nostres temps com ara alessandra ambrosio,del brasil han sortit algunes de les més grans models dels nostres temps com ara alexandre ambrossio
cam_02689_00573607082.wav,0.04,0.142857,0.070175,a mataró hi viu molta gent de gàmbia i no en sé el perquè,a mataró i viu molta gent de gàmbia i no sé el perquè
cam_06705_01962369837.wav,0.03,0.062500,0.038462,va ser un eminent geògraf català del segle divuit plenament integrat a l'espanya guanyadora dels borbons,va ser un eminent geògraf català del segle xviii plenament integrat a l'espanya guanyadora dels borbons
cam_06705_01740832451.wav,0.03,0.166667,0.086957,les accions de carburants axoil han pujat més d'un cinquanta per cent,les accions de carburants exemple han pujat més d'uns cinquanta per cent
cam_03115_01598892327.wav,0.03,0.000000,0.000000,josé corbacho a vegades es fa molt pesat,josé corbacho a vegades es fa molt pesat
