wav_filename,rtf,wer,cer,original,prediction
cam_06705_00965380421.wav,0.68,0.181818,0.137931,no hi ha cap problema amb utilitzar els serveis de gerebit,no hi ha cap problema a utilitzar els serveis de javeed
cam_08935_01786979677.wav,0.20,0.000000,0.000000,la seat de martorell necessita més treballadors qualificats,la seat de martorell necessita més treballadors qualificats
cam_08967_01421517524.wav,0.20,0.083333,0.027778,encara recordo la cançoneta de l'anunci de freixenet de quan érem petits,encara recordo la cançoneta de l'anunci de freixenet de quan eren petits
cam_06279_01547145967.wav,0.19,0.285714,0.106383,van anar a camprodon a veure la fàbrica de galetes però no es van parar a fer una foto al pont,berenar camprodón a veure la fàbrica de galetes però no es van parar a fer una foto el punt
cam_04910_01159743965.wav,0.26,0.238095,0.086614,el seu número es recorda millor en tres blocs de tres xifres és el vuit-cents setanta-dos nou-cents setanta-cinc zero zero zero,el seu número es recorda millor en tres blocs de tres xifres és el vuit-cents setantados nous sense tantes inc zero zero zero
cam_04910_00431791014.wav,0.16,0.000000,0.000000,el castell de sant martí sarroca està dalt d'un turó,el castell de sant martí sarroca està dalt d'un turó
cam_07140_01901419013.wav,0.20,0.363636,0.044118,l'autor de la novel·la el domador de puces és francesc valls-calzada,l'autor de la novel la el domador de puces és francesc valls calçada
cam_08664_01496553859.wav,0.14,0.000000,0.000000,josé zaragoza té un parlar molt agressiu,josé zaragoza té un parlar molt agressiu
cam_00762_01195797081.wav,0.21,0.090909,0.025000,la xarxa de carreteres està controlada per infraestructures viàries de catalunya,la xarxa de carretera està controlada per infraestructures viàries de catalunya
cam_07140_00281087812.wav,0.20,0.500000,0.108696,sempre m'ha agradat el to folklòric dels corrs,sempre m'agradat el toc folklòric dels cors
cam_06582_01886520024.wav,0.15,0.181818,0.013333,rosa maria graupera escrivia novel·les roses però també cròniques de guerra,rosa maria graupera escrivia novel les roses però també cròniques de guerra
cam_04484_00416637456.wav,0.17,0.071429,0.015152,no hi ha cap problema amb intermes nets des de l'inici de la crisi,no hi ha cap problema amb intermas nets des de l'inici de la crisi
cam_08935_00481209806.wav,0.22,0.250000,0.037037,tinc ganes de veure la pel·lícula incerta glòria dirigida per l'agustí villaronga,tinc ganes de veure la pel lícula incerta glòria dirigida per agustí villaronga
