wav_filename,wer,cer,original,prediction
common_voice_ca_19034690.wav,0.888889,0.621212,supervisa l'emissió de les resolucions de concessió de l'habitació,canvis mi la missió de construccions sensacional
common_voice_ca_17485470.wav,0.230769,0.103448,el març li demanà uns dies a febrer per enganyar a sa mare,el mas li demanà uns dies de febrer per enganyar sa mare
common_voice_ca_19290202.wav,0.000000,0.000000,anem a gàtova,anem a gàtova
common_voice_ca_19041983.wav,0.181818,0.036585,inspecciona escorxadors i explotacions ramaderes en cas de declaració de malalties,inspecciona escorxadors i explotacions ramaderes en casa declaració de malalties
common_voice_ca_19924318.wav,0.333333,0.193548,de vegades porta un capell rodó,de vegades quarta un gall rodó
common_voice_ca_20227727.wav,0.285714,0.075472,s'hi poden distingir dues cubetes bàsicament similars,si poden distingir dues covetes bàsicament similars
common_voice_ca_20560332.wav,0.111111,0.037736,en altres llengües es considera una amanida de fruita,en altres llengües es considera una amanida de fruites
common_voice_ca_17479762.wav,0.045455,0.027523,la confiança en si mateix i la capacitat per a tractar amb coses és madura i poc ansiosa és flexible i segura,la confiança si mateix i la capacitat per a tractar amb coses és madura i poc ansiosa és flexible i segura
common_voice_ca_20329811.wav,0.454545,0.089286,el clima hi és fred i propens a inflamacions i apoplexia,el clima hi és fred i propensa inflamacions i a poble axia
common_voice_ca_20822641.wav,0.071429,0.069444,el futbol és el segon esport més popular al país per darrere del beisbol,el futbol és el segon esport més popular al país per darrere del vaixell
common_voice_ca_19028649.wav,0.000000,0.000000,com era,com era
common_voice_ca_20941397.wav,0.000000,0.000000,es va llicenciar en filologia anglesa i posteriorment es va especialitzar en crítica literària,es va llicenciar en filologia anglesa i posteriorment es va especialitzar en crítica literària
common_voice_ca_19896689.wav,0.428571,0.243902,com l'episodi de març dites nevades van contrastar amb un inici de temporada escàs,hooper és a dir d'anar-se dites nevades van contestar amb un inici de temporada escàs
common_voice_ca_19266629.wav,0.200000,0.125000,és curiós que ningú no volgués fer mai de cowboy,és curiós que ningú no volgués mai fer de cowboy
common_voice_ca_18497552.wav,0.000000,0.000000,venim de puigcerdà,venim de puigcerdà
common_voice_ca_18532796.wav,0.100000,0.026786,aprovat el cens definitiu s'obre un període que no serà inferior a set dies per a la presentació de candidatures,aprovat el cens definitiu sobre un període que no serà inferior a set dies per la presentació de candidatures
common_voice_ca_19041752.wav,0.133333,0.047059,faig constar que en data d'avui aquest edicte ha quedat afixat en el tauler d'anuncis,faig constar que en data d'avui aquest edicte quedat fixat en el tauler d'anuncis
